variable,year,mean,sd,lower,upper
b_t,1953,309676.889198521,103363.824235194,191468.367755161,498518.358724486
b_t,1954,231368.472758885,84961.8715949573,134680.66602399,386764.347054545
b_t,1955,205967.05005786,75167.1047309357,118549.414499473,343897.298210785
b_t,1956,219959.460399461,81034.9002279405,124666.797812199,363353.953615044
b_t,1957,246769.919979639,91521.1717152318,143216.176714134,406274.437379007
b_t,1958,293344.329543609,108945.91582921,172905.66849918,484251.993664716
b_t,1959,350633.436563646,129233.967047627,204037.714143188,588565.272866662
b_t,1960,377003.986064942,140274.33665372,219605.238065104,628804.305538144
b_t,1961,339099.519916721,124018.306529113,200696.774126181,564770.614907084
b_t,1962,427218.748610591,154966.93054831,252203.459289045,702700.103204677
b_t,1963,482868.396034854,178998.105106319,280555.288638677,796826.088202321
b_t,1964,512297.042026826,187407.707207978,296725.878658062,843203.954645391
b_t,1965,503891.496341838,183928.653019472,294840.876691289,815889.507876104
b_t,1966,466824.468021885,172246.364030304,272988.299242102,761765.87581361
b_t,1967,499365.106798112,181705.756681235,292490.710420358,836563.850930421
b_t,1968,566081.304653915,208827.921051725,327625.026435557,944473.078668719
b_t,1969,665023.272239733,245018.30914675,388887.734140679,1108861.11080591
b_t,1970,664389.760155524,247678.825535413,390792.430113403,1118288.59493008
b_t,1971,621840.941415272,231417.107470951,359260.23999494,1034529.03860433
b_t,1972,635711.38956342,236872.959402515,365866.902310573,1082465.2200851
b_t,1973,673387.795427297,249309.524357139,392707.460764571,1131562.36616166
b_t,1974,617689.648772024,230396.680436163,363174.725663371,1055705.94606807
b_t,1975,552792.922214368,199933.419089776,319950.867669329,916854.578263309
b_t,1976,501843.634582406,187907.941050259,290793.598930232,844551.07047817
b_t,1977,508452.76720159,188463.800879638,298013.118815947,859323.325807289
b_t,1978,561433.897839688,203288.510464705,327282.558944063,939698.309445429
b_t,1979,588866.365135781,211998.232374771,346834.219188309,986685.092845056
b_t,1980,602181.959725806,220216.317125693,354463.482022835,1009190.46884332
b_t,1981,533421.763744291,195577.708144693,311279.818126233,884790.773119088
b_t,1982,457517.933471356,167761.931854153,268953.024776312,753622.520607768
b_t,1983,438564.738711389,161892.396370418,258275.201496891,724098.72025326
b_t,1984,470704.753132368,170183.786251047,275397.942818462,775433.516136261
b_t,1985,459774.990352429,168520.188854458,270681.334216034,756848.148561927
b_t,1986,451878.529275285,163723.967853317,270245.561885701,749431.361046015
b_t,1987,458186.222970731,164093.959855447,270454.694483487,755497.710095781
b_t,1988,450398.210211867,158288.580857973,266453.955966921,756545.55286401
b_t,1989,450892.902121829,161259.58024326,261936.088350223,747504.324936477
b_t,1990,381481.639860059,140973.077792517,219807.393693031,635092.177745027
b_t,1991,291834.067597492,106787.948921006,169761.161140318,491757.348302568
b_t,1992,248443.143465192,91297.76878344,144539.224457973,408239.843146594
b_t,1993,225681.090559821,81054.8935654021,132640.733277151,370096.092184562
b_t,1994,264710.587350911,92514.7744035319,159673.305589155,423447.561512675
b_t,1995,258080.83240727,91605.483059939,152679.624088033,425931.040289521
b_t,1996,281660.21658198,100302.10713554,169807.777478121,466413.805460692
b_t,1997,319237.217849507,113523.924546786,186977.083449139,522312.682956148
b_t,1998,301772.905036588,106729.778582653,178225.610378728,494683.80517713
b_t,1999,351375.684360488,125729.62252181,211837.585013053,580740.345618142
b_t,2000,410814.16320595,145707.324274914,241413.382452639,673287.079293376
b_t,2001,417652.541517246,148530.687930417,246623.996303504,693110.57960453
b_t,2002,422749.893791309,153818.285727608,244580.837005615,707410.995505665
b_t,2003,401857.074646588,146734.761023506,234545.140375071,665289.760140295
b_t,2004,396142.474129276,144157.290806141,233960.01378083,651579.613953058
b_t,2005,364755.682566203,132591.12311931,214713.725968647,603876.819622462
b_t,2006,358418.973423353,128868.568397059,212854.684269233,592150.273309268
b_t,2007,330158.773038957,119103.826905099,196232.538629976,541131.235436633
b_t,2008,318144.354577979,115676.01707527,187345.531716883,520476.028699209
b_t,2009,310362.425159751,111504.660394586,186644.246037798,513672.15097702
b_t,2010,318876.524994475,111529.546368777,190795.70636385,514444.165516623
b_t,2011,316850.972172561,113993.417486241,189229.784108311,513220.332385859
b_t,2012,317298.008140992,114837.847747293,189590.242117839,517099.863744823
b_t,2013,298101.619022593,107660.32614689,174645.637788869,486990.588398828
b_t,2014,306716.181858505,108783.074128553,183638.87255723,510802.757899153
b_t,2015,339625.234419927,120159.634878268,203137.466438531,559678.326237184
b_t,2016,336797.855537965,117984.531689269,202225.806568819,550351.036607806
b_t,2017,363597.220801792,129615.928888894,219363.95969491,593301.28744655
b_t,2018,341290.927965698,122343.323061584,205979.122657781,566867.841689979
b_t,2019,308120.513545528,110994.64779241,182153.610081761,510581.122309734
