variable,year,mean,sd,lower,upper
b_t,1965,32166.0325585771,28356.6889715293,6854.29662396643,83992.327190231
b_t,1966,13300.1815084859,13304.7024533691,2750.1573068694,36172.544538603
b_t,1967,10372.4391474074,11236.0099415855,2296.29709252868,28632.8691857522
b_t,1968,12588.8907441951,12927.1788413253,2761.98286908489,34581.1921087963
b_t,1969,32445.8307437881,35282.128493827,8352.17043023712,88018.5135534116
b_t,1970,56620.5127514796,59680.1208232898,14057.6910920302,150857.572064417
b_t,1971,63445.7600040209,60947.0236349843,15696.7562992083,169592.692826488
b_t,1972,68529.0028519891,67748.0869190712,16730.449497025,190266.473553433
b_t,1973,77333.9763341278,75650.3710433084,18115.7315458541,211616.596418234
b_t,1974,67449.6044421456,65787.8267474583,16485.4378486919,194301.864787459
b_t,1975,70862.0799801677,69374.136675303,17538.8971504227,197712.142390783
b_t,1976,53581.9026915875,53152.8718992911,13175.6751929226,145181.378266004
b_t,1977,56874.9350194607,57450.2062235548,14513.5909457343,149544.672642943
b_t,1978,48906.7053830751,51660.8357154403,10187.8271795105,140166.792006649
b_t,1979,49628.3850334576,53188.2448146349,9092.35351088715,147928.697414126
b_t,1980,36478.627211491,41167.4344499353,8465.76988707976,103372.905831756
b_t,1981,30400.3874364515,33331.5886273393,5418.34388035927,90549.0337982447
b_t,1982,25429.2344599445,25357.164304983,5255.48331985335,74063.5864968612
b_t,1983,21163.2337410362,22481.9968742121,5502.56213781501,58891.985422501
b_t,1984,17423.799947346,17629.8911726561,3616.79183733065,48635.3508194392
b_t,1985,11162.9100838345,11448.4716446234,2378.1615839971,31911.5843172198
b_t,1986,8920.04657117909,9286.54560634555,1978.18890091845,24993.9771054608
b_t,1987,6834.38292970783,7324.25569645239,1323.69102099511,19105.1852767126
b_t,1988,7058.17486134824,7352.55932720309,1573.2035189164,19205.939795493
b_t,1989,9901.35325919104,10644.1485184036,2072.27765359915,26882.8515502425
b_t,1990,9338.41367137044,10763.3475875097,1768.66150120477,27055.0912281661
b_t,1991,9765.14396712217,10319.5950037632,2096.37821428186,26445.1249805926
b_t,1992,9101.78888199025,9921.10246415169,1794.95579510658,25282.3039697787
b_t,1993,8007.49018815049,8983.1813802716,1700.51094841643,21710.1941082766
b_t,1994,7194.80461819782,7832.02347270755,1839.12159606848,19669.9906025946
b_t,1995,6359.09735447263,6575.08575229464,1618.96959941437,18101.5820752927
b_t,1996,6183.81752044922,6504.87628400467,1376.87862649883,17748.794381846
b_t,1997,9364.17253200904,9399.94031075064,2346.40653543533,26009.2858996192
b_t,1998,9531.11414131926,9791.95169394452,1886.31168118384,27652.7362986823
b_t,1999,7399.63229935243,7806.42636626864,1777.1614499983,21099.3889846206
b_t,2000,6794.96389238739,7308.76170382945,1503.89765623449,20658.4899739468
b_t,2001,5503.57744574024,6071.46566988321,1252.23879517722,15496.8754600474
b_t,2002,4601.18076605114,4915.61445988868,1004.85948605928,12621.7742919536
b_t,2003,3080.24291903606,3648.52230606807,539.719124366783,8868.82106489243
